treeTaxon,fishbase
Systomus_rhomboocellatus,Desmopuntius_rhomboocellatus
Systomus_foerschi,Desmopuntius_foerschi
Puntius_johorensis,Desmopuntius_johorensis
Systomus_hexazona,Desmopuntius_hexazona
Puntius_lineatus,Striuntius_lineatus
Systomus_tetrazona,Puntigrus_tetrazona
Puntius_binotatus,Barbodes_binotatus
Puntius_oligolepis,Oliotius_oligolepis
Bangana_pierrei,Labeo_pierrei
Incisilabeo_behri,Bangana_behri
Laubuca_laubuca,Laubuka_laubuca
Laubuca_fasciata,Laubuka_fasciata
Laubuca_caeruleostigmata,Laubuka_caeruleostigmata
Laubuca_dadiburjori,Laubuka_dadiburjori
Opsarius_bakeri,Barilius_malabaricus
Nematabramis_steindachneri,Nematabramis_steindachnerii
Schistura_montana,Paraschistura_montana
Liniparhomaloptera_disparis_disparis,Liniparhomaloptera_disparis
Liniparhomaloptera_disparis_qiongzhongensis,Liniparhomaloptera_qiongzhongensis
Pseudogastromyzon_changtingensis_tungpeiensis,Pseudogastromyzon_changtingensis_changtingensis
Kichulchoia_multifasciata,Niwaella_multifasciata
Iksookimia_pacifica,Cobitis_pacifica
Cobitis_laterimaculata,Niwaella_laterimaculata
Cobitis_granoei,Cobitis_sibirica
Cobitis_melanoleuca_melanoleuca,Cobitis_melanoleuca
Catostomus_occidentalis_occidentalis,Catostomus_occidentalis
Catostomus_discobolus_discobolus,Catostomus_discobolus
Synodontis_membranacea,Synodontis_membranaceus
Anaspidoglanis_macrostomus,Notoglanidium_macrostoma
Potamosilurus_velutinus,Neoarius_velutinus
Potamosilurus_coatesi,Neoarius_coatesi
Potamosilurus_latirostris,Neoarius_latirostris
Brustiarius_proximus,Netuma_proxima
Carlarius_latiscutatus,Arius_latiscutatus
Nemadoras_ternetzi,Opsodoras_ternetzi
Corydoras_multiradiatus,Brochis_multiradiatus
Astyanax_alburnus,Cyanocharax_alburnus
Phenacogrammus_compressus,Alestopetersius_compressus
Phenacogrammus_nigropterus,Alestopetersius_nigropterus
Phenacogrammus_altus,Brachypetersius_altus
Hemigrammocharax_multifasciatus,Nannocharax_multifasciatus
Hemigrammocharax_machadoi,Nannocharax_machadoi
Hemigrammocharax_ocellicauda,Nannocharax_ocellicauda
Hemigrammocharax_uniocellatus,Nannocharax_uniocellatus
Odaxothrissa_vittata,Odaxothrissa_losera
Brienomyrus_niger,Brevimyrus_niger
Pollimyrus_marchei,Ivindomyrus_marchei
Pollimyrus_isidori_isidori,Pollimyrus_isidori
Mormyrus_rume_rume,Mormyrus_rume
Petrocephalus_bovei_bovei,Petrocephalus_bovei
Gnathophis_nystromi_ginanago,Gnathophis_ginanago
Gnathophis_nystromi_nystromi,Gnathophis_nystromi
Anguilla_bengalensis_labiata,Anguilla_labiata
Anguilla_bicolor_bicolor,Anguilla_bicolor
Anguilla_bengalensis_bengalensis,Anguilla_bengalensis
Cyprinodon_variegatus_ovinus,NA
Aphanius_dispar_richardsoni,NA
Cheilopogon_antoncichi,NA
Melanotaenia_splendida_inornata,NA
Melanotaenia_splendida_tatei,NA
Simochromis_pleurospilus,NA
Paraneetroplus_melanurus,NA
Mugil_soiuy,NA
Mugil_gyrans,NA
Mastacembelus_stappersii,NA
Mastacembelus_signatus,NA
Elacatinus_digueti,NA
Gobionotothen_acuticeps,NA
Etheostoma_mediae,NA
Etheostoma_binotatum,NA
Takifugu_fasciatus,NA
Gadus_ogac,NA
Arctogadus_borisovi,NA
Forbesichthys_papilliferus,NA
Aphredoderus_gib,NA
Plecoglossus_altivelis_ryukyuensis,NA
Salvelinus_leucomaenis_pluvius,NA
Salvelinus_leucomaenis_imbrius,NA
Esox_americanus_vermiculatus,NA
Rutilus_prespensis,NA
Rutilus_ohridanus,NA
Pseudophoxinus_chaignoni,NA
Phoxinus_lumaireul,NA
Sarcocheilichthys_nigripinnis_morii,NA
Sarcocheilichthys_sinensis_fukiensis,NA
Acheilognathus_tabira_tohokuensis,NA
Acheilognathus_tabira_jordani,NA
Acheilognathus_tabira_erythropterus,NA
Acheilognathus_tabira_nakamurae,NA
Schizothorax_yunnanensis_weiningensis,NA
Schizothorax_yunnanensis_paoshanensis,NA
Rhamdia_cabrerae,NA
Glyptothorax_longinema,NA
Hypostomus_panamensis,NA
Scleromystax_kronei,NA
Astyanax_hubbsi,NA
Anguilla_bicolor_pacifica,NA
Anguilla_australis_schmidtii,NA
Pseudocrenilabrus_sp,NA
Hemichromis_sp,NA
Astronotus_sp,NA
Percina_cf,NA
Enigmapercis_sp,NA
Cobitis_sp,NA
Astyanax_sp,NA
Gymnotus_sp,NA
Chirocentrus_sp,NA
