group,left,right,min,max,node,clade_pretty,fossil,authority,locality,outgroup_sequence,age_authority
Total_group_Plecoglossidae,Plecoglossus_altivelis_altivelis,Salangichthys_microdon,56.83,118.4646847,8189,Total group Plecoglossidae,Speirsaenigma lindoei,Wilson & Williams (1991),"Paskapoo Formation, Canada","Total group Plecoglossidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Magnetic polarity chron C25n encompassing Tiffanian NALMA, age estimate derived from Gradstein et al. (2012)"
Cylothone_plus_Stigmops,Sigmops_bathyphilus,Cyclothone_obscura,12.62,88.6591992,8237,Cylothone plus Stigmops,Sigmops sp.,Carenvale (2007),"Torricella Peligna, Italy","Cylothone plus Stigmops	Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Carnevale (2007)
Total_group_Sternoptychidae,Sternoptyx_obscura,Polymetme_corythaeola,41.3,116.3941942,8275,Total group Sternoptychidae,Polypnoides laevis,Afsari et al. (2014),"Dabakhanian Formation, Georgia","Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Lutetian (Bannikov and Parin 1997), age estimate derived from Gradstein et al. (2012)"
Total_group_Argyropelecus,Argyropelecus_hemigymnus,Maurolicus_weitzmani,32.02,91.37837838,8307,Total group Argyropelecus,Argyropelecus sp.,Carnveale (2003),"Lower Khadum Horizon, Caucasus","Total group Argyropelecus	Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 40; specimen derives from same geological unit"
Argyropelecus_hemigymnus,Argyropelecus_hemigymnus,Argyropelecus_sladeni,12.62,66.09811812,8321,Argyropelecus hemigymnus,Argyropelecus logearti,Carnevale (2003),"Torricella Peligna, Italy","Argyropelecus hemigymnus	Total group Argyropelecus	Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Carnevale (2007)
Croan_Chauliodus,Chauliodus_macouni,Chauliodus_danae,7.246,87.64966366,8333,Croan Chauliodus,Chauliodus testa,Nazarkin (2014),"Kurasi Formation, Sakhalin","Croan Chauliodus	Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Serravallian-Tortonian, age estimate derived from Gradstein et al. (2012)"
Chauliodus_sloani,Chauliodus_sloani,Chauliodus_danae,2.588,59.91853854,8335,Chauliodus sloani,Chauliodus sloani,Landini & Menesini (1978),2.588,"Chauliodus sloani	Croan Chauliodus	Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Late Pliocene, age estimate derived from Gradstein et al. (2012)"
Stomias_affinis,Stomias_affinis,Stomias_atriventer,5.33,60.59236236,8343,Stomias affinis,Stomias affinis,Fink & Fink (1986),"Modelo Formation, California","Stomias affinis	Croan Chauliodus	Total group Sternoptychidae	Total group Stomiiformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Late Miocene, age estimate derived from Gradstein et al. (2012)"
Total_group_Galaxias,Galaxias_platei,Galaxias_zebratus,23,133.8148148,8440,Total group Galaxias,Galaxias effusus,Lee et al. (2007),"Foulden Hills Diatomite, New Zealand","Total group Galaxias	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Lee et al. (2007)
Total_group_Aulopiformes,Alepisaurus_ferox,Scopelengys_tristis,103.13,159.4079179,8529,Total group Aulopiformes,Apateodus glyphodus,Goody (1969),"Gault Clay Formation, UK","Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Mortiniceras inflatum Ammonite Zone (Young et al. 2010), age estimate derived from Gradstein et al. (2012)"
Total_group_Alepisaurus,Alepisaurus_ferox,Omosudis_lowii,15.97,132.8433333,8651,Total group Alepisaurus,Alepisaurus 'ferox',D'Erasmo (1924),"Rosignano, Italy","Total group Alepisaurus	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Burdigalian (Carnevale 2007), age estimate derived from Gradstein et al. (2012)"
Crown_Myctophiformes,Neoscopelus_microchir,Bolinichthys_longipes,32.02,116.4762162,8668,Crown Myctophiformes,Eomyctophum koraense,Prokofiev (2006),"Kora, North Osetia","Crown Myctophiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 40; specimen derives from lateral equivalent"
Total_group_Bolinichthys,Lepidophanes_guentheri,Bolinichthys_longipes,5.33,87.37335335,8700,Total group Bolinichthys,Bolinichthys sp.,"Denton 2013 described the fossil, position of genus in tree determined in Denton (2015).","Modelo Formation, California, USA","Total group Bolinichthys	Crown Myctophiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Late Miocene, age estimate derived from Gradstein et al. (2012)"
Total_group_Polymixiiformes,Polymixia_lowei,Percopsis_transmontana,93.6,125.9267267,8900,Total group Polymixiiformes,Homonotichthys dorsalis,Near etal.2012 Calibration 11.,"English Chalk Group, UK","Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Near et al. (2012), calibration 11"
Crown_Percopsiformes,Percopsis_transmontana,Amblyopsis_rosae,63.1,94.31771772,8909,Crown Percopsiformes,Massamorichthys wilsoni,Alfaro et al. (in prep),"Tullock Formation, Montana, USA","Crown Percopsiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Alfaro et al. (in revision), calibration 3"
Amblyopsidae_vs_Aphredoderidae,Aphredoderus_gib,Amblyopsis_rosae,33.07,78.36531532,8913,Amblyopsidae vs Aphredoderidae,Trichophanes foliarum,Near etal.2012 Calibration 13.,"Florissant, Colorado, USA","Amblyopsidae vs Aphredoderidae	Crown Percopsiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Near et al. (2012), calibration 13"
Crown_Zeiformes,Zeus_faber,Zenion_hololepis,69.71,108.2996196,8931,Crown Zeiformes,Cretzeus rinaldii,Tyler & Santini (2005),"Nardo, Italy","Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 3; specimen derives from same geological unit"
Crown_Zeidae,Zeus_faber,Zenopsis_conchifer,32.02,90.18324324,8938,Crown Zeidae,"Zenopsis clarus, Zenopsis tyleri, and Zenopsis hoernesi",Santini et al. (2006),"Lower Khadum Horizon, Caucasus","Crown Zeidae	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 40; specimen derives from same geological unit"
Crown_Gadiformes,Gadus_morhua,Bregmaceros_atlanticus,53.7,92.87437437,8970,Crown Gadiformes,Rhinocephalus planiceps,Endo (2002),"London Clay Formation (B division), UK","Crown Gadiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","NP11 based on Friedman et al. (2016), age estimate derived from Gradstein et al. (2012)"
Total_group_Macrouridae,Squalogadus_modificatus,Mora_moro,41.3,77.48528529,8978,Total group Macrouridae,Nezumia lindsayi,Kriwet & Hecht (2008),"La Meseta Formation, Unit II (Telms 3-5), Antarctica","Total group Macrouridae	Crown Gadiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Lutetian, age estimate derived from Gradstein et al. (2012)"
Meluccius_merluccius,Merluccius_merluccius,Merluccius_senegalensis,5.333,43.59128829,9045,Meluccius merluccius,Merluccius cf. merluccius,Carnevale (2005),"Oran, Algeria","Meluccius merluccius	Total group Gaidropsarus	Total group Macrouridae	Crown Gadiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Messinian, age estimate derived from Gradstein et al. (2012)"
Total_group_Gaidropsarus,Gaidropsarus_mediterraneus,Ciliata_mustela,13.53,59.80444444,9086,Total group Gaidropsarus,Gaidropsarus pilleri,Carnevale & Harzhauser (2013),"St. Margarethen, Austria","Total group Gaidropsarus	Total group Macrouridae	Crown Gadiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","NN5b, age estimage derived from Gradstein et al. (2012)"
Gadiculus,Gadiculus_argenteus,Micromesistius_australis,5.333,43.59128829,9113,Gadiculus,Gadiculus cf. jonas,Carnevale (2005),"Oran, Algeria","Gadiculus	Total group Gaidropsarus	Total group Macrouridae	Crown Gadiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Messinian, age estimate derived from Gradstein et al. (2012)"
Total_group_Bregmaceros,Steindachneria_argentea,Bregmaceros_atlanticus,41.3,77.48528529,9185,Total group Bregmaceros,Bregmaceros filamentosus,Prikryl et al. (2016),"Dabakhanian Formation, Georgia","Total group Bregmaceros	Crown Gadiformes	Crown Zeiformes	Total group Polymixiiformes	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Lutetian, age estimate derived from Gradstein et al. (2012)"
Total_group_Lampridformes,Ostichthys_japonicus,Velifer_hypselopterus,98,142.8648649,9357,Total group Lampridformes,Aipichthys velifer,Davesne et al. (2014),"Sannine Limestone, Lebanon","Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 1"
Total_group_Lamprididae,Lampris_guttatus,Velifer_hypselopterus,54.17,119.2536737,9359,Total group Lamprididae,Turkmene finitimus,"Danil'chenko (1968), Bannikov (1999)","Danatinsk Formation, Turkmenistan","Total group Lamprididae	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), 'Total-group Carangiformes'; specimen derives from same geological unit"
Total_group_Lophotidae,Lophotus_lacepede,Trachipterus_arcticus,41.3,96.16156156,9368,Total group Lophotidae,Eolophotes lenis,"Danil'chenko (1962, 1980)","Dabakhanian Formation, Georgia","Total group Lophotidae	Total group Lamprididae	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Lutetian (Bannikov and Parin 1997), age estimate derived from Gradstein et al. (2012)"
Trachipteridae,Trachipterus_arcticus,Regalecus_glesne,5.333,70.37209009,9370,Trachipteridae,Trachipterus mauritanicus,Carnevale (2004),"Oran, Algeria","Trachipteridae	Total group Lophotidae	Total group Lamprididae	Total group Lampridformes	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Messinian, age estimate derived from Gradstein et al. (2012)"
Total_group_Holocentroidei,Holocentrus_rufus,Aulotrachichthys_prosthemius,98,126.9129129,9388,Total group Holocentroidei,Stichocentrus liratus,Patterson (1967),"Sannine Limestone, Lebanaon","Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington (2016), calibration 2"
Crown_Holocentridae,Ostichthys_japonicus,Sargocentron_cornutum,49,106.5885886,9389,Crown Holocentridae,Berybolcensis leptacanthus,Alfaro et al. (in prep),"Bolca, Italy","Crown Holocentridae	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Trachichthyoidei,Monocentris_japonica,Rondeletia_bicolor,93.6,114.1409409,9474,Total group Trachichthyoidei,Hoplopteryx lewesensis,"Patterson (1963, 1993)","English Chalk Group, UK","Total group Trachichthyoidei	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Near et al. (2012), calibration 17"
Total_group_Gephyroberyx,Gephyroberyx_darwinii,Hoplostethus_gigas,32.02,97.35405405,9489,Total group Gephyroberyx,Gephyroberyx robustus,Near et al. (2012),"Lower Khadum Horizon, Caucasus","Total group Gephyroberyx	Total group Trachichthyoidei	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 40; specimen derives from same geological unit"
Crown_Stephanoberyciformes,Acanthochaenus_luetkenii,Rondeletia_bicolor,9.83,96.05107107,9511,Crown Stephanoberyciformes,Miobarbourisia aomori,Fuji et al. (2007),Wadagawa Formation,"Crown Stephanoberyciformes	Total group Trachichthyoidei	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","N15 (Aoyagi and Omokawa 1993), age estimate derived from Gradstein et al. (2012)"
Total_group_Hypsigenyini,Lachnolaimus_maximus,Pteragogus_cryptus,49,79.89189189,9705,Total group Hypsigenyini,Phyllophyarngodon longipinnis,Alfaro et al. (in prep),"Bolca, Italy","Total group Hypsigenyini	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Alfaro et al. (in revision), additional taxon 5"
Total_group_Calotomus,Calotomus_spinidens,Cryptotomus_roseus,13.53,48.13161161,9856,Total group Calotomus,Calotomus priesli,Alfaro et al. (in prep),"St Margarethen, Austria","Total group Calotomus	Total group Tautoga	Total group Hypsigenyini	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Alfaro et al. (in revision), calibration 12"
Total_group_Tautoga,Tautoga_onitis,Acantholabrus_palloni,15,62.77277277,10002,Total group Tautoga,Tautoga sp.,Alfaro et al. (in prep),"Calvert Formation, Maryland, USA","Total group Tautoga	Total group Hypsigenyini	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Alfaro et al. (in revision), additional taxon 6"
Crown_Lophiiformes,Lophiodes_reticulatus,Antennarius_striatus,49,79.89189189,10408,Crown Lophiiformes,Caruso brachysomus,Carnevale & Pietsch (2012),"Bolca, Italy","Crown Lophiiformes	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
MRCA_Lophioides_plus_Lophius,Lophiodes_reticulatus,Lophius_piscatorius,38,66.25225225,10409,MRCA Lophioides plus Lophius,Eosladenia caucasica,"Bannikov (2004), Carnevale & Pietsch (2012)","Gomyi Luch, Russia","MRCA Lophioides plus Lophius	Crown Lophiiformes	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Bartonian (Bannikov and Parin 1997), age estimate derived from Gradstein et al. (2012)"
Total_group_Ogcocephalidae,Ogcocephalus_parvus,Chaunax_pictus,49,68.45045045,10430,Total group Ogcocephalidae,Tarkus squirei,Carnevale & Pietsch (2010),"Bolca, Italy","Crown Lophiiformes	Total group Ogcocephalidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Antennaridae,Antennarius_indicus,Chaunax_pictus,49,60.82282282,10450,Total group Antennaridae,Eophryne barbutii,Carnevale & Pietsch (2009),"Bolca, Italy","Crown Lophiiformes	Total group Antennaridae	Total group Ogcocephalidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Oneiroides,Oneirodes_macrosteus,Lophodolos_indicus,7.42,50.56630631,10485,Oneiroides,Oneiroides sp.,,"Puente Formation (Yorba Member), California, USA","Oneiroides	Crown Lophiiformes	Total group Antennaridae	Total group Ogcocephalidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","CN9A, age estimate derived from Gradstein et al. (2012)"
Antennarius_ocellatus_group,Antennarius_indicus,Antennarius_striatus,5.333,49.96766967,10547,Antennarius ocellatus group,Antennarius monodi,Carnevale & Pietsch (2006),"Oran, Algeria","Antennarius ocellatus group	Crown Lophiiformes	Total group Antennaridae	Total group Ogcocephalidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","Messinian, age estimate derived from Gradstein et al. (2012)"
Total_group_Triodontidae,Triodon_macropterus,Aracana_aurita,53.7,80.82072072,10566,Total group Triodontidae,Ctenoplectus williamsi,Close et al. (in press),"London Clay Formation (B division), UK","Total group Triodontidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","NP11 based on Friedman et al. (2016), age estimate derived from Gradstein et al. (2012)"
Total_group_Ostraciidae,Ostracion_cubicus,Kentrocapros_rosapinto,49,69.59459459,10568,Total group Ostraciidae,Eolactoria sorbinii,Bannikov et al. (2016),"Bolca, Italy","Total group Ostraciidae	Total group Triodontidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Crown_group_Ostraciidae,Acanthostracion_quadricornis,Ostracion_cubicus,30.28,57.88828829,10584,Crown group Ostraciidae,Oligolactoria bubiki,"Bannikov et al. (2016), Tyler & Gregorova (1991)","Menilitic Formation, Czech Republic","Crown group Ostraciidae	Total group Ostraciidae	Total group Triodontidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","IPM 3 (correlated with P19; Tyler and Gregorova 1991), age estimate derived from Gradstein et al. (2012)"
Total_group_Balistoidei,Balistes_vetula,Triacanthodes_ethiops,54.17,81.25684685,10620,Total group Balistoidei,Eospinus daniltshenkoi,Arcila et al. (2015),"Danatinsk Formation, Turkmenistan","Total group Balistoidei	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
Total_group_Triacanthidae,Parahollardia_lineata,Triacanthus_biaculeatus,49,69.59459459,10621,Total group Triacanthidae,Protacanthodes nimesensis,Arcila et al. (2015),"Bolca, Italy","Total group Triacanthidae	Total group Balistoidei	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Harrington et al. (2016), calibration 4; specimen derives from same geological unit"
MRCA_Tydemania__Triacanthodes,Tydemania_navigatoris,Triacanthodes_ethiops,26.93,57.59398398,10631,"MRCA Tydemania, Triacanthodes",Carpathospinosus propheticus,Arcila et al. (2015),"Przysietnica, Poland","MRCA Tydemania, Triacanthodes	Total group Triacanthidae	Total group Balistoidei	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","IPM 4 (correlated with P21a; Tyler et al. 1993), age estimate derived from Gradstein et al. (2012)"
Crown_Balistoidei,Balistes_vetula,Monacanthus_tuckeri,32.02,66.67891892,10636,Crown Balistoidei,Oligobalistes robustus,Arcila et al. (2015),"Lower Khadum Horizon, Caucasus","Crown Balistoidei	Total group Balistoidei	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","See argumentation in Benton et al. (2015), calibration 40; specimen derives from same geological unit"
Total_group_Tetraodontoidei,Mola_mola,Diodon_hystrix,55.8,94.38118118,10801,Total group Tetraodontoidei,Balkaria histiopterygia,Bannikov et al. (2016),"Kehu River, Kabardino-Balkarian Republic","Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1",Bannikov et al. (2016)
Crown_Molidae,Mola_mola,Ranzania_laevis,21.12,75.55547548,10802,Crown Molidae,Austromola angerhoferi,Gregorova et al. (2009),"Ebelsberg Formation, Austria","Crown Molidae	Total group Tetraodontoidei	Total group Macrorhamphosa	Total group Lampridformes	Total group Holocentroidei	Total group Aulopiformes	Total group Euteleostei	Crown Teleostei	stem Teleostei 5	stem Teleostei 4	stem Teleostei 3	stem Teleostei 2	stem Teleostei 1	stem Halecomorphi 1","M1, age estimate derived from Gradstein et al. (2012)"
